,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◆ スプリントプランニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリント期間 (yyyymmdd),,,,46149.0,,,～,46154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントゴール,,,,このスプリントで,,,ゲスト向け店舗検索機能の MVP リリース / Phát hành MVP chức năng tìm kiếm quán cà phê cho khách (Guest),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,スプリントバックログ,,,,チェックリストLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,対応P_ID,,ID,,タスク,,,,,,PIC,,見積もり(h),,"スプリント
ゴールとの関係",,進捗,,実績(h),,問題点,,,,原因,,,,対策,,,,問題点への対応状況,,,,,,
,1.0,,1.0,,"[DB] ER図作成とSchema定義 
Tạo sơ đồ ER và định nghĩa Schema",,,,,,Quang Phương,,3.0,,あり,,1.0,,3.0,,"なし
Không có",,,,"なし
Không có",,,,"なし
Không có",,,,,,,,,,
,1.0,,2.0,,"[DB] マイグレーション実行と初期データ投入 
Thực thi migration và khởi tạo dữ liệu",,,,,,Hữu Nhân,,2.0,,あり,,1.0,,2.5,,"なし
Không có",,,,"なし
Không có",,,,"なし
Không có",,,,,,,,,,
,2.0,,3.0,,"[Dev] 開発環境の共通セットアップ 
Thiết lập môi trường phát triển chung",,,,,,Ngọc Quý,,1.0,,あり,,1.0,,1.0,,"なし
Không có",,,,"なし
Không có",,,,"なし
Không có",,,,,,,,,,
,2.0,,4.0,,"[Doc] 開発環境セットアップ手順書の作成 
Soạn tài liệu hướng dẫn thiết lập môi trường phát triển",,,,,,Quang Vinh,,2.0,,あり,,1.0,,2.0,,"なし
Không có",,,,"なし
Không có",,,,"なし
Không có",,,,,,,,,,
